archivo,extension,tamano_mb,sha256_12,estado_lectura,filas,columnas,hojas,cabecera_o_hoja
Base de datos nvestigación portafolio de negocios 4.0/IDIDataset2024edition (2).xlsx,.xlsx,0.123,8e07eddcebc6,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IDIDataset2024edition.xlsx,.xlsx,0.123,8e07eddcebc6,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IRENA_OFGStats_Extract_2024 (1).xlsx,.xlsx,3.461,0766f5c098ee,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IRENA_OFGStats_Extract_2024.xlsx,.xlsx,3.461,0766f5c098ee,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IRENA_TSSC_Solar_PV_Manufacturing_Cost_Model_v1 (1).xlsx,.xlsx,1.538,41bc35f04222,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IRENA_TSSC_Solar_PV_Manufacturing_Cost_Model_v1.xlsx,.xlsx,1.538,41bc35f04222,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/ITU_regional_global_Key_ICT_indicator_aggregates_Nov_2025 (1).xlsx,.xlsx,0.105,1c36533d48ea,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/ITU_regional_global_Key_ICT_indicator_aggregates_Nov_2025.xlsx,.xlsx,0.105,1c36533d48ea,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IndividualsUsingInternetByGender_Jan2025 (1).xlsx,.xlsx,0.046,9d25dfbc34e4,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IndividualsUsingInternetByGender_Jan2025.xlsx,.xlsx,0.046,9d25dfbc34e4,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
